Compound ID,"	Common name",ChemblID,CAS,PubchemID,Formula,related targets,Protein Name,Gene Symbol,UniprotID,Target Level,No. of Literature Evidence
C0001,(-)-Demecolcine,CHEMBL312862,477-30-5,220401,C21H25NO5,T79WXA,Mitogen-activated protein kinase 1,MAPK1,P28482,C,1Reference(s)
C0002,Decursinol,CHEMBL481657,NA,442127,C14H14O4,T80GUN,72 kDa type IV collagenase,MMP2,P08253,C,1Reference(s)
C0002,Decursinol,CHEMBL481657,NA,442127,C14H14O4,T49TDM,Matrix metalloproteinase-9,MMP9,P14780,C,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T88TDZ,RAC-alpha serine/threonine-protein kinase,AKT1,P31749,A,4Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T01E7W,Aurora kinase B,AURKB,Q96GD4,A,3Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T13YN2,Bcl-2-like protein 1,Bcl2l1,Q64373,B,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T06RMZ,Nuclear factor NF-kappa-B p105 subunit,NFKB1,P19838,B,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T96OOK,Signal transducer and activator of transcription 3,STAT3,P40763,C,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T92AMR,Hepatocyte growth factor receptor,MET,P08581,C,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T67HAF,Signal transducer and activator of transcription 1-alpha/beta,STAT1,P42224,C,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T81I6O,Nucleophosmin,NPM1,P06748,C,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T37PW4,DNA replication licensing factor MCM3,MCM3,P25205,C,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T93OBS,Cell division control protein 45 homolog,CDC45,O75419,C,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T82ALJ,Glycogen synthase kinase-3 beta,GSK3B,P49841,C,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T54FKY,Serine/threonine-protein kinase Nek2,NEK2,P51955,C,1Reference(s)
C0003,Deguelin,CHEMBL393417,NA,107935,C23H22O6,T40JZG,GPI-anchor transamidase,PIGK,Q92643,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T38AWT,Histone deacetylase 3,HDAC3,O15379,A,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T85AXP,Cytochrome P450 3A4,CYP3A4,P08684,A,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T88TDZ,RAC-alpha serine/threonine-protein kinase,AKT1,P31749,A,2Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T80GUN,72 kDa type IV collagenase,MMP2,P08253,A,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T81I4T,5'-AMP-activated protein kinase catalytic subunit alpha-1,PRKAA1,Q13131,A,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T85U8U,Caspase-3,CASP3,P42574,A,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T80PUR,Caspase-7,CASP7,P55210,A,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T38T1U,Caspase-8,CASP8,Q14790,A,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T43N2D,Epidermal growth factor receptor,EGFR,P00533,A,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T63BQU,Cytochrome P450 1A1,CYP1A1,P04798,A,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T85JI5,Vitamin D3 receptor,VDR,P11473,B,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T54OSZ,Pleckstrin,PLEK,P08567,B,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T63FNY,NSFL1 cofactor p47,NSFL1C,Q9UNZ2,B,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T74QXI,Serine/threonine-protein kinase mTOR,MTOR,P42345,C,2Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T42EAZ,Vascular endothelial growth factor A,VEGFA,P15692,C,2Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T66CDR,Caspase-14,CASP14,P31944,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T44CO6,Loricrin,LORICRIN,P23490,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T29MD1,Mitogen-activated protein kinase 8,MAPK8,P45983,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T71UHA,Transcription factor jun-D,JUND,P17535,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T80OJF,Interstitial collagenase,MMP1,P03956,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T92BZ2,Catenin beta-1,CTNNB1,P35222,C,2Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T15JRW,"Interferon alpha-inducible protein 27, mitochondrial",IFI27,P40305,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T88AJI,Hypoxia-inducible factor 1-alpha,HIF1A,Q16665,C,2Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T77A47,Eukaryotic translation initiation factor 4E,EIF4E,P06730,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T40NB1,Ribosomal protein S6 kinase beta-1,RPS6KB1,P23443,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T06RMZ,Nuclear factor NF-kappa-B p105 subunit,NFKB1,P19838,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T97KFC,Transcription factor jun-B,JUNB,P17275,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T84E1O,Metallothionein-1A,MT1A,P04731,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T04W1F,"Keratin, type II cytoskeletal 1",KRT1,P04264,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T56D7K,"Keratin, type I cytoskeletal 10",KRT10,P13645,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T54N7G,Fos-related antigen 1,FOSL1,P15407,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T87WH7,Fos-related antigen 2,FOSL2,P15408,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T78IOY,Telomerase reverse transcriptase,TERT,O14746,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T93WZG,G1/S-specific cyclin-D1,CCND1,P24385,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T36I66,Metallothionein-2,MT2A,P02795,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T90Z3N,Filaggrin,FLG,P20930,C,1Reference(s)
C0004,Delphinidin,CHEMBL276780,NA,128853,C15H10O7,T49TDM,Matrix metalloproteinase-9,MMP9,P14780,C,1Reference(s)
C0005,DelphinidinChloride,CHEMBL590878,NA,68245,C15H10O7.ClH,T01JSX,Carbonyl reductase [NADPH] 1,CBR1,P16152,A,1Reference(s)
C0005,DelphinidinChloride,CHEMBL590878,NA,68245,C15H10O7.ClH,T80TUC,Apoptosis regulator BAX,BAX,Q07812,B,1Reference(s)
C0005,DelphinidinChloride,CHEMBL590878,NA,68245,C15H10O7.ClH,T85U8U,Caspase-3,CASP3,P42574,B,1Reference(s)
C0005,DelphinidinChloride,CHEMBL590878,NA,68245,C15H10O7.ClH,T09KQF,Proliferating cell nuclear antigen,PCNA,P12004,B,1Reference(s)
C0005,DelphinidinChloride,CHEMBL590878,NA,68245,C15H10O7.ClH,T43N2D,Epidermal growth factor receptor,EGFR,P00533,C,1Reference(s)
C0005,DelphinidinChloride,CHEMBL590878,NA,68245,C15H10O7.ClH,T26KIE,Transcription factor AP-1,JUN,P05412,C,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T24C0P,Bile acid receptor,NR1H4,Q96RI1,A,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T74P7I,G-protein coupled bile acid receptor 1,GPBAR1,Q8TDU6,A,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T83TMF,Cytochrome P450 2B1,Cyp2b1,P00176,B,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T06IYF,Adenomatous polyposis coli protein,APC,P25054,B,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T10HL8,Intercellular adhesion molecule 1,ICAM1,P05362,B,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T59IKQ,Vascular cell adhesion protein 1,VCAM1,P19320,B,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T08Q7W,Prostaglandin G/H synthase 2,PTGS2,P35354,B,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T43N2D,Epidermal growth factor receptor,EGFR,P00533,B,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T21Q0D,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,P04035,B,1Reference(s)
C0006,DeoxycholicAcid,CHEMBL406393,83-44-3,222528,C24H40O4,T70HTD,Cytochrome P450 2E1,CYP2E1,P05181,B,1Reference(s)
