R-HSA-5619097,Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH),X-linked hypophosphatemia
R-HSA-3371599,Defective HLCS causes multiple carboxylase deficiency,vitamin metabolic disorder
R-HSA-1222449,Mtb iron assimilation by chelation,tuberculosis
R-HSA-5579007,Defective ACY1 causes encephalopathy,toxic encephalopathy
R-HSA-5250982,Toxicity of tetanus toxin (tetX),tetanus
R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,T-cell acute lymphoblastic leukemia
R-HSA-2660826,Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,T-cell acute lymphoblastic leukemia
R-HSA-2691232,Constitutive Signaling by NOTCH1 HD Domain Mutants,T-cell acute lymphoblastic leukemia
R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,T-cell acute lymphoblastic leukemia
R-HSA-5682113,Defective ABCA1 causes TGD,Tangier disease
R-HSA-5619053,Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP),systemic primary carnitine deficiency disease
R-HSA-5619092,"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)",syndromic intellectual disability
R-HSA-5619109,Defective SLC6A2 causes orthostatic intolerance (OI),syndrome
R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,subacute leukemia
R-HSA-5579009,Defective CYP11B2 causes CMO-1 deficiency,steroid inherited metabolic disorder
R-HSA-3560796,Defective PAPSS2 causes SEMD-PA,spondyloepimetaphyseal dysplasia
R-HSA-3595172,Defective CHST3 causes SEDCJD,spondyloepimetaphyseal dysplasia
R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,spondyloepimetaphyseal dysplasia
R-HSA-5083630,Defective LFNG causes SCDO3,spondylocostal dysostosis
R-HSA-5579004,Defective CYP26C1 causes FFDD4,skin benign neoplasm
R-HSA-4085011,"Defective GNE causes sialuria, NK and IBM2",sialuria
R-HSA-3282872,Severe congenital neutropenia type 4 (G6PC3),severe congenital neutropenia
R-HSA-5602636,IKBKB deficiency causes SCID,severe combined immunodeficiency
R-HSA-5619046,Defective SLC26A4 causes Pendred syndrome (PDS),sensorineural hearing loss
R-HSA-5619061,Defective SLC33A1 causes spastic paraplegia 42 (SPG42),sensorineural hearing loss
R-HSA-5619085,Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1),secretory diarrhea
R-HSA-5579020,Defective SLC35D1 causes SCHBCKD,schneckenbecken dysplasia
R-HSA-5619067,Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA),schizophrenia
R-HSA-5579014,Defective CYP27B1 causes VDDR1A,rickets
R-HSA-5579027,Defective CYP27B1 causes VDDR1B,rickets
R-HSA-5619066,Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1),rhabdomyosarcoma
R-HSA-5619042,Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN),Rh deficiency syndrome
R-HSA-9022534,Loss of MECP2 binding ability to 5hmC-DNA,Rett syndrome
R-HSA-9022535,Loss of phosphorylation of MECP2 at T308,Rett syndrome
R-HSA-9022537,Loss of MECP2 binding ability to the NCoR/SMRT complex,Rett syndrome
R-HSA-9022538,Loss of MECP2 binding ability to 5mC-DNA,Rett syndrome
R-HSA-4755609,Defective DHDDS causes RP59,retinitis pigmentosa
R-HSA-2453864,Retinoid cycle disease events,retinal disease
R-HSA-6809583,Retinoid metabolism disease events,retinal disease
R-HSA-5619040,Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1),renal tubular transport disease
R-HSA-5619047,Defective SLC2A9 causes hypouricemia renal 2 (RHUC2),renal tubular transport disease
R-HSA-5619098,Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS),renal tubular transport disease
R-HSA-5658208,Defective SLC5A2 causes renal glucosuria (GLYS1),renal tubular transport disease
R-HSA-5619050,"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",renal tubular acidosis
R-HSA-5619054,"Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)",renal tubular acidosis
R-HSA-5688849,Defective CSF2RB causes SMDP5,pulmonary alveolar proteinosis
R-HSA-5688890,Defective CSF2RA causes SMDP4,pulmonary alveolar proteinosis
R-HSA-5619045,Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM),pulmonary alveolar microlithiasis
R-HSA-5687583,Defective SLC34A2 causes PALM,pulmonary alveolar microlithiasis
R-HSA-5690338,Defective ABCC6 causes PXE,pseudoxanthoma elasticum
R-HSA-5579030,Defective CYP19A1 causes AEXS,pseudohermaphroditism
R-HSA-5579000,Defective CYP1B1 causes Glaucoma,primary open angle glaucoma
R-HSA-5602410,TLR3 deficiency - HSE,primary immunodeficiency disease
R-HSA-5602415,UNC93B1 deficiency - HSE,primary immunodeficiency disease
R-HSA-5602498,MyD88 deficiency (TLR2/4),primary immunodeficiency disease
R-HSA-5602566,TICAM1 deficiency - HSE,primary immunodeficiency disease
R-HSA-5602571,TRAF3 deficiency - HSE,primary immunodeficiency disease
R-HSA-5602680,MyD88 deficiency (TLR5),primary immunodeficiency disease
R-HSA-5603027,IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR),primary immunodeficiency disease
R-HSA-5603029,IkBA variant leads to EDA-ID,primary immunodeficiency disease
R-HSA-5603037,IRAK4 deficiency (TLR5),primary immunodeficiency disease
R-HSA-5603041,IRAK4 deficiency (TLR2/4),primary immunodeficiency disease
R-HSA-5619095,"Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)",primary hypertrophic osteoarthropathy
