protein,relation,pathway
CBL,associatedWith,R-HSA-1059683
IL6,associatedWith,R-HSA-1059683
IL6R,associatedWith,R-HSA-1059683
IL6ST,associatedWith,R-HSA-1059683
JAK1,associatedWith,R-HSA-1059683
JAK2,associatedWith,R-HSA-1059683
PTPN11,associatedWith,R-HSA-1059683
SOCS3,associatedWith,R-HSA-1059683
STAT1,associatedWith,R-HSA-1059683
STAT3,associatedWith,R-HSA-1059683
TYK2,associatedWith,R-HSA-1059683
FGF1,associatedWith,R-HSA-109704
FGF10,associatedWith,R-HSA-109704
FGF16,associatedWith,R-HSA-109704
FGF17,associatedWith,R-HSA-109704
FGF18,associatedWith,R-HSA-109704
FGF19,associatedWith,R-HSA-109704
FGF2,associatedWith,R-HSA-109704
FGF20,associatedWith,R-HSA-109704
FGF22,associatedWith,R-HSA-109704
FGF23,associatedWith,R-HSA-109704
FGF3,associatedWith,R-HSA-109704
FGF4,associatedWith,R-HSA-109704
FGF5,associatedWith,R-HSA-109704
FGF6,associatedWith,R-HSA-109704
FGF7,associatedWith,R-HSA-109704
FGF8,associatedWith,R-HSA-109704
FGF9,associatedWith,R-HSA-109704
FGFR1,associatedWith,R-HSA-109704
FGFR2,associatedWith,R-HSA-109704
FGFR3,associatedWith,R-HSA-109704
FGFR4,associatedWith,R-HSA-109704
FLT3,associatedWith,R-HSA-109704
FLT3LG,associatedWith,R-HSA-109704
FRS2,associatedWith,R-HSA-109704
GAB1,associatedWith,R-HSA-109704
GAB2,associatedWith,R-HSA-109704
GRB2,associatedWith,R-HSA-109704
IRS1,associatedWith,R-HSA-109704
IRS2,associatedWith,R-HSA-109704
KL,associatedWith,R-HSA-109704
KLB,associatedWith,R-HSA-109704
PIK3C3,associatedWith,R-HSA-109704
PIK3CA,associatedWith,R-HSA-109704
PIK3CB,associatedWith,R-HSA-109704
PIK3R1,associatedWith,R-HSA-109704
PIK3R2,associatedWith,R-HSA-109704
PIK3R4,associatedWith,R-HSA-109704
PTPN11,associatedWith,R-HSA-109704
