Compound ID,	Common name,Gene Symbol,UniprotID,lit_n
C0001,(-)-Demecolcine,MAPK1,P28482,1
C0002,Decursinol,MMP2,P08253,1
C0002,Decursinol,MMP9,P14780,1
C0003,Deguelin,AKT1,P31749,4
C0003,Deguelin,AURKB,Q96GD4,3
C0003,Deguelin,Bcl2l1,Q64373,1
C0003,Deguelin,CDC45,O75419,1
C0003,Deguelin,GSK3B,P49841,1
C0003,Deguelin,MCM3,P25205,1
C0003,Deguelin,MET,P08581,1
C0003,Deguelin,NEK2,P51955,1
C0003,Deguelin,NFKB1,P19838,1
C0003,Deguelin,NPM1,P06748,1
C0003,Deguelin,PIGK,Q92643,1
C0003,Deguelin,STAT1,P42224,1
C0003,Deguelin,STAT3,P40763,1
C0004,Delphinidin,AKT1,P31749,2
C0004,Delphinidin,CASP14,P31944,1
C0004,Delphinidin,CASP3,P42574,1
C0004,Delphinidin,CASP7,P55210,1
C0004,Delphinidin,CASP8,Q14790,1
C0004,Delphinidin,CCND1,P24385,1
C0004,Delphinidin,CTNNB1,P35222,2
C0004,Delphinidin,CYP1A1,P04798,1
C0004,Delphinidin,CYP3A4,P08684,1
C0004,Delphinidin,EGFR,P00533,1
C0004,Delphinidin,EIF4E,P06730,1
C0004,Delphinidin,FLG,P20930,1
C0004,Delphinidin,FOSL1,P15407,1
C0004,Delphinidin,FOSL2,P15408,1
C0004,Delphinidin,HDAC3,O15379,1
C0004,Delphinidin,HIF1A,Q16665,2
C0004,Delphinidin,IFI27,P40305,1
C0004,Delphinidin,JUNB,P17275,1
C0004,Delphinidin,JUND,P17535,1
C0004,Delphinidin,KRT1,P04264,1
C0004,Delphinidin,KRT10,P13645,1
C0004,Delphinidin,LORICRIN,P23490,1
C0004,Delphinidin,MAPK8,P45983,1
C0004,Delphinidin,MMP1,P03956,1
C0004,Delphinidin,MMP2,P08253,1
C0004,Delphinidin,MMP9,P14780,1
C0004,Delphinidin,MT1A,P04731,1
C0004,Delphinidin,MT2A,P02795,1
C0004,Delphinidin,MTOR,P42345,2
C0004,Delphinidin,NFKB1,P19838,1
C0004,Delphinidin,NSFL1C,Q9UNZ2,1
C0004,Delphinidin,PLEK,P08567,1
