gene_symbol,disease_id,score
AAGAB,C0022596,0.45
AAGAB,C1835662,0.85
AAGAB,C3554145,0.5
AAGAB,C4551675,0.65
AANAT,C0005587,0.5
AANAT,C0011570,0.65
AANAT,C0011581,0.65
AANAT,C1858496,0.5
AANAT,C3279991,0.4
ABAT,C0002395,0.65
ABAT,C0004352,0.6
ABAT,C0017168,0.5
ABAT,C0020179,0.7
ABAT,C0023380,0.45
ABAT,C0026827,0.65
ABAT,C0033922,0.4
ABAT,C0034933,0.4
ABAT,C0342708,0.9
ABAT,C0393706,0.4
ABCA1,C0002395,0.85
ABCA1,C0004153,1.0
ABCA1,C0009402,0.6
ABCA1,C0009404,0.5
ABCA1,C0010054,0.85
ABCA1,C0010068,0.75
ABCA1,C0011860,0.9
ABCA1,C0020443,0.95
ABCA1,C0020445,0.65
ABCA1,C0020623,0.45
ABCA1,C0022661,0.55
ABCA1,C0023487,0.4
ABCA1,C0028754,0.8
ABCA1,C0031117,0.65
ABCA1,C0036341,0.6
ABCA1,C0039292,1.0
ABCA1,C0151691,0.75
ABCA1,C0151744,0.65
ABCA1,C0264694,0.45
ABCA1,C0271183,0.4
ABCA1,C0342898,0.85
ABCA1,C0473527,0.8
ABCA1,C0678222,0.7
ABCA1,C0745103,0.6
ABCA1,C1335029,0.4
ABCA1,C1704429,0.75
ABCA1,C1843386,0.4
ABCA1,C2931838,0.75
ABCA1,C4024448,0.4
ABCA1,C4229399,0.4
ABCA1,C5231558,0.65
ABCA2,C1510586,0.4
ABCA2,C5394135,0.55
ABCA2,C5680181,0.4
ABCA3,C0006142,0.6
ABCA3,C0009404,0.4
ABCA3,C0013990,0.65
ABCA3,C0020542,0.6
ABCA3,C0024115,0.85
ABCA3,C0034050,0.45
ABCA3,C0034069,0.7
ABCA3,C0376358,0.4
ABCA3,C1145670,0.8
ABCA3,C1968602,0.45
ABCA3,C1970456,0.8
ABCA3,C2678480,0.4
ABCA3,C2697932,0.4
ABCA3,C3711368,0.75
ABCA3,C4082171,0.4
ABCA3,C4721507,0.4
ABCA3,C5441745,0.45
ABCA3,C5561926,0.4
ABCA3,C5680383,0.4
ABCB1,C0001175,0.7
ABCB1,C0002103,0.4
ABCB1,C0003431,0.45
ABCB1,C0003873,0.75
ABCB1,C0003977,0.4
ABCB1,C0004936,0.65
ABCB1,C0004943,0.65
ABCB1,C0006868,0.4
ABCB1,C0006870,0.65
ABCB1,C0007097,0.85
ABCB1,C0007131,1.0
ABCB1,C0007134,0.8
ABCB1,C0009324,0.8
ABCB1,C0009402,0.85
ABCB1,C0009404,0.7
ABCB1,C0010403,0.45
ABCB1,C0011570,0.85
ABCB1,C0011581,0.85
ABCB1,C0011860,0.8
ABCB1,C0013369,0.4
ABCB1,C0014544,1.0
ABCB1,C0014836,0.4
ABCB1,C0014859,0.7
ABCB1,C0018798,0.65
ABCB1,C0018799,0.6
ABCB1,C0019337,0.5
ABCB1,C0019693,0.9
ABCB1,C0020473,0.65
ABCB1,C0020476,0.5
ABCB1,C0020651,0.6
ABCB1,C0022658,0.7
ABCB1,C0022665,0.75
ABCB1,C0023449,0.95
ABCB1,C0024530,0.8
ABCB1,C0024809,0.5
ABCB1,C0027497,0.6
ABCB1,C0027543,0.6
ABCB1,C0027765,0.65
ABCB1,C0027819,0.75
ABCB1,C0027947,0.75
ABCB1,C0029445,0.6
ABCB1,C0029792,0.4
ABCB1,C0030193,0.75
ABCB1,C0030201,0.8
ABCB1,C0030567,0.85
ABCB1,C0030569,0.4
ABCB1,C0031069,0.65
ABCB1,C0031117,0.6
ABCB1,C0033141,0.4
ABCB1,C0033975,0.7
ABCB1,C0035126,0.4
ABCB1,C0036341,0.85
ABCB1,C0036529,0.4
ABCB1,C0038220,0.65
ABCB1,C0040715,0.4
ABCB1,C0041327,0.7
ABCB1,C0041696,0.7
ABCB1,C0042963,0.7
ABCB1,C0079744,0.7
ABCB1,C0156147,0.45
ABCB1,C0158442,0.4
ABCB1,C0158449,0.4
ABCB1,C0158450,0.4
ABCB1,C0158451,0.4
ABCB1,C0206686,0.6
ABCB1,C0235032,0.95
ABCB1,C0270850,0.5
ABCB1,C0279543,0.9
ABCB1,C0375359,0.45
ABCB1,C0376545,0.75
ABCB1,C0524662,0.7
ABCB1,C0553707,0.4
ABCB1,C0677776,0.4
ABCB1,C0745048,0.4
ABCB1,C0878544,0.75
ABCB1,C1168401,0.7
ABCB1,C1269683,0.8
ABCB1,C1319315,0.75
ABCB1,C1335029,0.4
ABCB1,C1335469,0.5
ABCB1,C1368683,0.4
ABCB1,C1458155,0.9
ABCB1,C1510586,0.6
ABCB1,C1527349,0.6
ABCB1,C1861502,0.4
ABCB1,C2239176,1.0
ABCB1,C2677101,0.55
ABCB1,C4277682,0.45
ABCB11,C0001733,0.4
