Gene1	Gene2	combine_score
A2M	ABCC6	0.319
A2M	ACAN	0.582
A2M	ACOT12	0.311
A2M	ACP5	0.452
A2M	ADAMTS1	0.428
A2M	ADAMTS4	0.355
A2M	ADAMTS5	0.321
A2M	AFP	0.515
A2M	AGER	0.493
A2M	ALB	0.980
A2M	AMBP	0.871
A2M	ANXA6	0.454
A2M	APBB1	0.668
A2M	APCS	0.534
A2M	APLP2	0.429
A2M	APOA1	0.998
A2M	APOB	0.585
A2M	APOD	0.574
A2M	APOE	0.975
A2M	APOH	0.752
A2M	APOM	0.328
A2M	APP	0.905
A2M	AZGP1	0.443
A2M	AZU1	0.477
A2M	B2M	0.774
A2M	BACE1	0.579
A2M	BLMH	0.448
A2M	BPIFA1	0.224
A2M	C1R	0.694
A2M	C1S	0.578
A2M	C2	0.369
A2M	C4A	0.530
A2M	C4BPA	0.448
A2M	C4BPB	0.275
A2M	C6	0.306
A2M	C8A	0.362
A2M	C8B	0.329
A2M	CCL2	0.578
A2M	CELA2A	0.470
A2M	CFB	0.726
A2M	CFD	0.311
A2M	CFH	0.559
A2M	CFHR1	0.263
A2M	CFI	0.502
A2M	CFP	0.580
A2M	CHI3L1	0.654
A2M	CLCN5	0.347
A2M	CLEC3B	0.542
A2M	CLU	0.896
A2M	CMA1	0.349
A2M	CP	0.889
A2M	CPB1	0.241
A2M	CPB2	0.805
A2M	CPE	0.263
A2M	CRP	0.623
A2M	CRYM	0.351
A2M	CTRB1	0.859
A2M	CTRB2	0.860
A2M	CTSB	0.768
A2M	CTSG	0.501
A2M	CUL9	0.292
A2M	CXCL8	0.604
A2M	CYP46A1	0.422
A2M	ECE1	0.267
A2M	ELANE	0.735
A2M	F10	0.475
A2M	F11	0.620
A2M	F12	0.534
A2M	F13A1	0.572
A2M	F13B	0.534
A2M	F2	0.700
A2M	F3	0.541
A2M	F5	0.610
A2M	F7	0.526
A2M	F8	0.610
A2M	F9	0.428
A2M	FBN1	0.517
A2M	FCN2	0.353
A2M	FCN3	0.348
A2M	FGA	0.832
A2M	FGB	0.841
A2M	FGF2	0.665
A2M	FGG	0.761
A2M	FN1	0.851
A2M	FURIN	0.566
A2M	GALNT12	0.194
A2M	GC	0.654
A2M	GDF15	0.432
A2M	GDPD1	0.441
A2M	GHR	0.452
A2M	GJB1	0.433
A2M	GPT	0.655
A2M	GSN	0.498
A2M	HBB	0.582
A2M	HBG2	0.200
A2M	HCRTR1	0.353
A2M	HFE	0.457
A2M	HIPK1	0.237
A2M	HP	0.997
A2M	HPR	0.634
A2M	HRG	0.762
A2M	HSP90B1	0.593
A2M	HSPA4	0.574
A2M	HSPA5	0.972
A2M	IGF1	0.575
A2M	IGFALS	0.256
A2M	IGFBP1	0.585
A2M	IL10	0.847
A2M	IL1A	0.573
A2M	IL1B	0.984
A2M	IL6	0.950
A2M	INS	0.654
A2M	ITIH2	0.632
A2M	ITIH3	0.468
A2M	KLK1	0.501
A2M	KLK10	0.261
A2M	KLK13	0.423
A2M	KLK14	0.185
A2M	KLK2	0.375
A2M	KLK3	0.967
A2M	KLK4	0.993
A2M	KLKB1	0.957
A2M	KNG1	0.927
A2M	LEP	0.694
A2M	LPA	0.450
A2M	LRG1	0.334
A2M	LRP8	0.619
A2M	LTF	0.724
A2M	MASP1	0.438
A2M	MASP2	0.411
A2M	MELTF	0.217
A2M	MMP1	0.796
A2M	MMP10	0.600
A2M	MMP11	0.581
A2M	MMP13	0.786
A2M	MMP2	0.953
A2M	MMP3	0.877
A2M	MMP7	0.662
A2M	MMP8	0.856
A2M	MMP9	0.845
A2M	MST1	0.248
A2M	MVP	0.302
A2M	NGF	0.719
A2M	ORM1	0.809
A2M	ORM2	0.808
