gene_symbol,disease_name,disease_id,score,num_pmids,num_snps,disease_type,disease_classes,disease_vocabularies,gene_ncbi_id,gene_ensembl_ids,gene_protein_ids,gene_protein_class,year_initial,year_final,association_id
AAGAB,Keratosis palmoplantaris papulosa,C1835662,0.85,13,0,disease,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Skin and Connective Tissue Diseases (C17); Disease or Syndrome (T047); disease of anatomical entity (7)",OMIM_148600; MESH_C536161; OMIM_614888; ORDO_79501; DO_0080214; MONDO_0007858; MONDO_0019332; UMLS_C1835662,79719,ENSG00000103591,Q6PD74,N/A,2010.0,2023.0,95156700
AAGAB,"Keratoderma, Palmoplantar",C4551675,0.65,2,0,disease,"Skin and Connective Tissue Diseases (C17); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047); Abnormality of limbs (40064); Abnormality of the integument (01574)",MESH_D007645; HPO_HP:0000982; NCI_C34748; DO_3390; MONDO_0006590; EFO_1000745; UMLS_C4551675,79719,ENSG00000103591,Q6PD74,N/A,2021.0,2024.0,115007967
AAGAB,"PALMOPLANTAR KERATODERMA, PUNCTATE TYPE IB",C3554145,0.5,1,0,disease,Disease or Syndrome (T047); disease of anatomical entity (7),OMIM_614936; DO_0080214; MONDO_0007858; MONDO_0013980; UMLS_C3554145,79719,ENSG00000103591,Q6PD74,N/A,2014.0,2014.0,105242199
AAGAB,Palmoplantar Keratosis,C0022596,0.45,1,0,disease,Skin and Connective Tissue Diseases (C17); Musculoskeletal Diseases (C05); Disease or Syndrome (T047); disease of anatomical entity (7); Abnormality of the integument (01574); Abnormality of limbs (40064),ICD10_L85.2; HPO_HP:0000972; DO_3390; MONDO_0006590; EFO_1000745; UMLS_C0022596,79719,ENSG00000103591,Q6PD74,N/A,2012.0,2012.0,30000622
AANAT,Depressive disorder,C0011581,0.65,2,0,disease,Mental Disorders (F03); Mental or Behavioral Dysfunction (T048); Abnormality of the nervous system (00707),MESH_D003866; HPO_HP:0000716; DO_12139; DO_1595; DO_4964; MONDO_0002050; MONDO_0001442; EFO_0004257; EFO_0008623; EFO_1002014; UMLS_C0011581,15,ENSG00000129673,Q16613,N/A,2001.0,2011.0,15271265
AANAT,Mental Depression,C0011570,0.65,2,0,disease,Behavior and Behavior Mechanisms (F01); Mental or Behavioral Dysfunction (T048); disease of mental health (150),MESH_D003863; NCI_C2982; DO_1596; DO_1470; MONDO_0002050; UMLS_C0011570,15,ENSG00000129673,Q16613,N/A,2001.0,2011.0,15257305
AANAT,"Advanced Sleep-Phase Syndrome, Familial",C1858496,0.5,1,0,disease,Nervous System Diseases (C10); Mental Disorders (F03); Disease or Syndrome (T047); disease of mental health (150); genetic disease (630),MESH_C565789; ORDO_164736; DO_0050628; MONDO_0015609; UMLS_C1858496,15,ENSG00000129673,Q16613,N/A,2003.0,2003.0,100025166
AANAT,"Depression, Bipolar",C0005587,0.5,1,0,disease,Mental Disorders (F03); Mental or Behavioral Dysfunction (T048); disease of mental health (150); Abnormality of the nervous system (00707),MESH_D001714; HPO_HP:0007302; NCI_C34424; DO_3312; MONDO_0004985; MONDO_0024613; UMLS_C0005587,15,ENSG00000129673,Q16613,N/A,2010.0,2010.0,5443450
AANAT,"DELAYED SLEEP PHASE DISORDER, SUSCEPTIBILITY TO",C3279991,0.4,1,0,phenotype,Finding (T033),OMIM_614163; OMIM_601933; MONDO_0800001; EFO_0004698; UMLS_C3279991,15,ENSG00000129673,Q16613,N/A,2003.0,2003.0,105170440
ABAT,Gamma aminobutyric acid transaminase deficiency,C0342708,0.9,19,0,disease,"Nutritional and Metabolic Diseases (C18); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047); disease of metabolism (0014667); genetic disease (630)",OMIM_613163; MESH_C535407; OMIM_137150; ORDO_2066; DO_0060174; MONDO_0013166; UMLS_C0342708,18,ENSG00000183044,P80404,Enzyme,1984.0,2024.0,65295024
